code,age,rs
99902,15,0
99904,15,0
99908,15,0
99912,15,0
99916,15,0
99918,15,0
99920,15,0
99922,15,0
99925,15,0
99926,15,0
10641,16,0
11721,16,0
1681,16,0
2412,16,0
6171,16,0
6331,16,0
8481,16,0
9404,16,0
10603,16,0
10612,16,0
99901,16,0
99905,16,0
99909,16,0
99913,16,0
99921,16,0
99923,16,0
99927,16,0
3742,16,0
6751,16,0
10511,16,0
11021,16,0
9629,17,0
4371,17,0
7831,17,0
21521,17,0
1233,17,0
1701,17,0
3411,17,0
3611,17,0
5133,17,0
6292,17,0
8692,17,0
11622,17,0
99907,17,0
99914,17,0
99917,17,0
3991,17,0
11201,17,0
21251,17,0
8321,18,0
2231,18,0
7211,18,0
11581,18,0
5331,18,0
6511,18,0
7611,18,0
9701,18,0
11731,18,0
21543,18,0
99906,18,0
99911,18,0
99924,18,0
8741,18,0
10441,18,0
2991,19,0
4171,19,0
1521,19,0
7671,19,0
99903,19,0
99910,19,0
99919,19,0
1641,19,0
6322,19,0
10942,19,0
10282,20,0
99915,20,0
1211,20,0
9981,20,0
1111,21,0
11672,21,0
4362,21,0
8301,21,0
8521,21,0
10041,21,0
1531,22,0
21241,22,0
2362,22,0
3762,22,0
4351,22,0
1232,22,0
1342,23,0
7541,23,0
2642,24,0
11282,24,0
2361,25,0
7222,26,0
9162,26,0
8722,29,0
7512,35,0
10621,35,0
7791,36,0
9371,36,0
10901,36,0
9211,37,0
9881,39,0
7411,49,0
1121,54,0
4231,63,0
10131,63,0
11341,63,0
96210,16,1
1702,17,1
4621,17,1
10782,17,1
1413,17,1
7261,17,1
8141,17,1
8421,17,1
9961,17,1
11481,17,1
1614,18,1
10580,18,1
1391,18,1
2371,18,1
9971,18,1
21141,18,1
1722,18,1
2302,18,1
3131,18,1
4292,18,1
5173,18,1
9941,18,1
11691,18,1
3301,18,1
9291,18,1
6000,19,1
8351,19,1
8382,19,1
10051,19,1
2621,19,1
3192,19,1
5321,19,1
6011,19,1
8225,19,1
10501,19,1
11092,19,1
1251,19,1
3171,19,1
3201,19,1
5132,19,1
5294,19,1
6161,19,1
8361,19,1
9831,19,1
10391,19,1
4552,19,1
4592,19,1
10741,20,1
4112,20,1
9951,20,1
1322,20,1
9401,20,1
2541,20,1
8791,20,1
9191,20,1
2363,21,1
2591,21,1
4602,21,1
4981,21,1
8551,21,1
9151,21,1
11302,21,1
1710,21,1
4400,21,1
7251,21,1
8990,21,1
9403,21,1
10022,21,1
10541,21,1
11551,21,1
21432,21,1
2431,21,1
5182,21,1
3511,22,1
7521,22,1
21351,22,1
6271,22,1
7181,22,1
8960,22,1
21211,22,1
