code,age,rs
1005,20,0
1051,20,0
2135,21,0
2152,21,0
223,22,0
1044,22,0
1102,22,0
11103,22,0
335,23,0
417,23,0
526,23,0
533,23,0
633,23,0
832,23,0
848,23,0
1064,23,0
1074,23,0
1120,23,0
2125,23,0
721,24,0
874,24,0
929,24,0
1158,24,0
1173,24,0
152,25,0
341,25,0
437,25,0
617,25,0
675,25,0
767,25,0
970,25,0
11104,25,0
121,26,0
435,26,0
651,26,0
761,27,0
830,27,0
153,28,0
776,28,0
20003,29,0
20004,29,0
20007,29,0
20008,29,0
20009,29,0
20010,29,0
20011,29,0
20012,29,0
20013,29,0
20014,29,0
20016,29,0
20017,29,0
20018,29,0
20019,29,0
20020,29,0
20021,29,0
20022,29,0
20023,29,0
361,31,0
40001,38,0
40004,38,0
40005,38,0
40006,38,0
40007,38,0
40008,38,0
40009,38,0
40010,38,0
40011,38,0
40012,38,0
40013,38,0
40014,38,0
40015,38,0
40016,38,0
40017,38,0
40018,38,0
40019,38,0
40020,38,0
40021,38,0
11108,39,0
11107,42,0
988,46,0
1110,46,0
50001,46,0
50002,46,0
50003,46,0
50004,46,0
50005,46,0
50006,46,0
50007,46,0
50008,46,0
50009,46,0
50010,46,0
50011,46,0
50012,46,0
50013,46,0
50014,46,0
50015,46,0
50016,46,0
50017,46,0
11110,47,0
11101,53,0
50018,53,0
50019,53,0
60001,53,0
60002,53,0
60003,53,0
60004,53,0
60005,53,0
60006,53,0
60007,53,0
60008,53,0
60009,53,0
60010,53,0
60011,53,0
60012,53,0
60013,53,0
60014,53,0
60015,53,0
70001,56,0
70002,56,0
70003,56,0
70004,56,0
70005,56,0
70006,56,0
70007,56,0
70008,56,0
70009,56,0
70010,56,0
70011,56,0
11105,62,0
80003,65,0
80004,65,0
80006,65,0
80009,65,0
11102,76,0
996,21,1
2139,21,1
317,22,1
243,23,1
262,23,1
366,23,1
462,23,1
983,23,1
1050,23,1
2114,23,1
237,24,1
330,24,1
427,24,1
532,24,1
726,24,1
855,24,1
991,24,1
997,24,1
125,25,1
139,25,1
228,25,1
313,25,1
752,25,1
879,25,1
915,25,1
1039,25,1
1169,25,1
254,26,1
627,26,1
836,26,1
1148,26,1
2124,26,1
259,27,1
1155,27,1
963,28,1
718,29,1
725,29,1
754,29,1
919,29,1
994,29,1
995,29,1
20001,29,1
20002,29,1
20006,29,1
20015,29,1
750,30,1
835,30,1
842,30,1
498,31,1
743,31,1
1076,31,1
351,32,1
236,33,1
353,33,1
736,33,1
1054,35,1
142,38,1
722,47,1
777,21,2
1035,21,2
377,22,2
474,22,2
476,22,2
769,22,2
883,22,2
1087,22,2
422,23,2
457,23,2
913,23,2
372,24,2
1162,24,2
216,25,2
325,25,2
818,25,2
1022,25,2
224,26,2
271,26,2
328,26,2
346,26,2
374,26,2
488,26,2
